to,from,weight
10001,10001,1
10001,10002,31
10001,10003,92
10001,10015,94
10001,10018,9
10001,10028,1
10001,10031,44
10001,10037,5
10001,10040,2
10001,10044,1
10001,10049,6
10001,10050,86
10001,10078,77
10001,10082,25
10001,10094,3
10001,10149,42
10001,10150,161
10001,10154,1
10001,10163,5
10001,10169,2
10001,10172,7
10001,10175,35
10001,10181,1
10001,10210,16
10001,10215,87
10001,10239,22
10001,10246,1
10001,10275,37
10001,10286,1
10001,10288,60
10001,10320,3
10001,10367,2
10001,10381,12
10001,10388,1
10001,10389,4
10001,10408,4
10001,10410,6
10001,10425,12
10001,10426,25
10001,10448,1
10001,10453,1
10001,10480,42
10001,10485,8
10001,10544,5
10001,10561,11
10001,10862,2
10001,10868,3
10001,10981,1
10001,10982,12
10001,10983,2
10001,11006,1
10001,11162,1
10001,11172,6
10001,11205,4
10001,11213,1
10001,11233,9
10001,11282,8
10001,11292,1
10001,11294,189
10001,11297,17
10001,11298,162
10001,11309,13
10001,11310,9
10001,11312,6
10001,11318,19
10001,11319,23
10001,11320,7
10001,11321,1
10001,11328,6
10001,11329,1
10001,11339,2
10001,11341,10
10001,11350,3
10001,11355,3
10001,11362,2
10001,11379,5
10001,11384,498
10001,11397,3
10001,11402,3
10001,11421,15
10001,11424,2
10001,11427,2
10001,11436,23
10001,11444,1
10001,11453,4
10001,11468,1
10001,11553,3
10001,11566,18
10001,11964,2
10001,11966,11
10001,11990,9
10001,12155,3
10001,12252,4
10001,12261,4
10001,12268,2
10001,12361,5
10001,12447,9
10001,12509,8
10001,12556,3
10001,12669,10
10001,12671,3
10001,12672,1
10001,12702,3
10001,12709,2
10001,12746,157
10001,12764,6
10001,12786,1
10001,12924,3
10001,12983,14
10001,13106,4
10001,13301,8
10001,13381,2
10001,13385,10
10001,13405,13
10001,13419,1
10001,13428,5
10001,13477,28
10001,13541,2
10001,13544,1
10001,13578,1
10001,13612,2
10001,13653,2
10001,13664,2
10001,13762,28
10001,13774,5
10001,13780,2
10001,13795,1
10001,14334,7
10001,14341,1
10001,14609,1
10001,14616,3
10001,14622,12
10001,14623,4
10001,14642,6
10001,15203,1
10001,15485,2
10001,15877,23
10001,15890,4
10001,16182,2
10001,16278,15
10001,16764,2
10001,16766,3
10001,16772,2
10001,16773,1
10001,16775,13
10001,16788,4
10001,16805,1
10001,16806,2
10001,16808,4
10001,16818,7
10001,16823,7
10001,16825,49
10001,16834,3
10001,16836,5
10001,16839,3
10001,16845,6
10001,16851,1
10001,16885,13
10001,17173,2
10001,17196,2
10001,17210,2
10001,17291,3
10001,17379,2
10001,17392,1
10001,17497,2
10001,17971,2
10001,18168,4
10001,18601,2
10001,18669,1
10001,18838,9
10001,18887,1
10001,19021,3
10001,19502,3
10001,19552,1
10001,19562,6
10001,19619,1
10001,19621,44
10001,19626,5
10001,20341,3
10001,20433,2
10001,20470,2
10001,23257,3
10001,23329,1
10001,23367,3
10001,23382,3
10001,23498,6
10001,23564,2
10001,23801,2
10001,23845,1
10001,26537,3
10001,28595,1
10001,29543,1
10001,30117,1
10001,30153,1
10001,30190,1
10001,32464,2
10001,36846,1
10001,38640,2
10001,39992,2
10001,43161,4
10001,44533,30
10001,44675,3
10001,45329,1
10002,10001,3
10002,10003,51
10002,10005,17
10002,10015,9
10002,10017,22
10002,10018,3
10002,10023,4
10002,10031,8
10002,10036,6
10002,10037,8
10002,10040,77
10002,10049,25
10002,10050,2
10002,10052,72
10002,10060,4
10002,10063,15
10002,10066,4
10002,10084,6
10002,10087,24
10002,10094,3
10002,10101,3
10002,10114,3
10002,10122,6
10002,10123,8
10002,10135,2
10002,10139,1
10002,10149,3
10002,10150,6
10002,10152,2
10002,10158,3
10002,10161,2
10002,10169,15
10002,10175,13
10002,10180,3
10002,10185,3
10002,10198,10
10002,10206,1
10002,10225,3
10002,10234,4
10002,10236,3
10002,10238,9
10002,10240,3
10002,10241,2
10002,10264,3
10002,10265,3
10002,10277,8
10002,10391,32
10002,10475,3
10002,10479,7
10002,10561,9
10002,10666,2
